年,月-期底,排名,公司名稱,董事長,總經理,淨值-新臺幣百萬元,承銷及首次買入-新臺幣百萬元,交易額-新臺幣百萬元,資產總額-新臺幣百萬元,分公司家數-家
104,3,1,兆豐票券金融公司#,柯風祈,林基福,"33,804","551,805","1,902,981","210,671",8
104,3,2,國際票券金融公司#,魏啟林,蔡佳晋,"26,162","447,884","1,372,632","188,099",8
104,3,3,中華票券金融公司,吳正慶,錢耀祖,"21,912","392,036","990,709","184,403",5
104,3,4,萬通票券金融公司,王和生,黃聯中,"8,552","150,503","408,902","69,286",1
104,3,5,大中票券金融公司,陳龍政,金聖輝,"6,772","99,716","161,266","48,759",3
104,3,6,大慶票券金融公司,莊隆昌,黃彥禎,"6,338","106,104","249,561","50,465",3
104,3,7,台灣票券金融公司,林曉民,薛曙光,"6,285","94,990","237,420","47,604",1
104,3,8,合作金庫票券金融公司#,唐楚烈,林啟瑞,"4,624","45,941","269,929","38,969",1
104,6,1,兆豐票券金融公司#,柯風祈,林基福,"32,187","1,137,227","4,027,894","214,006",8
104,6,2,國際票券金融公司#,魏啟林,蔡佳晋,"25,321","896,134","2,682,924","189,232",8
104,6,3,中華票券金融公司,吳正慶,簡志明,"21,321","808,087","2,056,879","191,577",5
104,6,4,萬通票券金融公司,王和生,黃聯中,"8,345","308,197","818,593","69,095",1
104,6,5,大中票券金融公司,陳龍政,金聖輝,"6,620","207,709","349,842","52,737",3
104,6,6,台灣票券金融公司,林曉民,薛曙光,"6,111","184,570","444,035","49,050",1
104,6,7,大慶票券金融公司,莊隆昌,黃彥禎,"6,074","207,810","471,497","52,316",3
104,6,8,合作金庫票券金融公司#,唐楚烈,林啟瑞,"4,528","96,398","540,217","38,168",1
104,9,1,兆豐票券金融公司#,柯風祈,林基福,"33,144","1,725,008","6,134,343","217,493",8
104,9,2,國際票券金融公司#,魏啟林,蔡佳晋,"25,990","1,328,097","4,001,798","186,708",8
104,9,3,中華票券金融公司,吳正慶,簡志明,"21,858","1,240,210","3,279,191","197,767",5
104,9,4,萬通票券金融公司,王和生,黃聯中,"8,610","458,114","1,215,075","65,598",1
104,9,5,大中票券金融公司,陳龍政,金聖輝,"6,824","293,519","543,702","53,465",3
104,9,6,台灣票券金融公司,林曉民,薛曙光,"6,320","284,636","688,650","51,445",1
104,9,7,大慶票券金融公司,莊隆昌,黃彥禎,"6,239","317,943","771,332","55,368",3
